Date,Returns,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2015-10-10,0.91,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.37,0.0,0.0,0.0,-0.3,0.0,0.36,5.91,-4.58,0.0,0.0
2015-10-11,3.2,0.0,0.15,-0.03,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.85,0.0,0.58,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.55
2015-10-12,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.74,0.0,0.0,0.0,-0.47,0.47,1.26
2015-10-13,2.4,-0.5,0.0,0.0,-0.02,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,-0.99,0.0,-0.1,0.0,0.0,0.29,-0.29,0.0,-0.02,0.0,0.0,0.0,0.0
2015-10-14,3.0,-0.36,-0.14,-1.35,0.0,0.0,0.0,0.65,1.6,0.3,0.0,0.0,4.57,-1.42,0.0,-0.1,-0.55,-0.52,-0.28,-0.08,0.43,0.0,0.0,-0.35,0.42
2015-10-15,2.26,0.66,-0.08,0.0,0.0,-0.3,0.19,0.0,0.11,0.15,0.0,0.0,0.0,0.0,0.38,0.0,1.47,0.63,0.92,-0.23,-0.4,0.27,-0.12,0.12,-1.19
2015-10-16,7.85,0.0,0.0,2.0,-0.41,0.0,1.31,0.0,0.0,-2.26,1.83,0.0,0.0,0.0,0.0,-0.02,-0.14,-0.31,0.4,0.85,2.61,-2.53,-1.13,0.0,0.11
2015-10-17,8.72,0.0,-0.18,1.5,0.56,1.79,0.0,0.0,-2.77,0.0,3.79,-0.8,0.0,2.3,1.5,0.0,2.42,3.41,-0.17,1.33,-4.29,-2.65,0.05,0.15,0.75
2015-10-18,-4.01,0.38,0.8,4.82,0.0,4.6,-3.69,3.67,-4.71,4.32,0.0,0.0,0.0,-0.05,0.0,-0.14,-0.5,-2.34,0.0,-1.16,-2.0,-0.29,2.29,2.47,0.0
2015-10-19,4.03,1.92,0.11,-2.85,-2.39,4.96,0.0,0.23,0.0,0.21,0.0,-2.22,0.0,0.0,0.0,-3.94,0.25,-1.0,0.0,-3.73,0.0,0.0,4.44,0.0,0.0
2015-10-20,-0.39,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.18,-1.42,0.5,0.61,6.27,-4.77,-1.49,3.99,-7.44,7.44,-6.48,0.31
2015-10-21,-0.46,0.56,3.41,0.0,3.57,-2.88,-4.1,0.0,0.0,1.49,0.0,5.49,0.0,0.0,-5.11,2.36,4.87,0.0,-5.02,1.38,1.65,0.42,-2.42,0.1,-0.1
2015-10-22,5.25,0.25,0.0,0.25,0.0,-0.03,0.0,0.0,0.0,-0.02,0.0,-2.95,2.5,0.1,-0.1,-0.5,0.0,0.0,-0.2,-0.05,0.0,0.68,0.07,-0.36,0.36
2015-10-23,3.31,-0.74,0.0,0.24,0.0,0.0,0.0,0.13,0.07,1.3,2.0,2.05,2.93,-1.11,0.01,-0.11,-0.07,-2.08,0.13,0.0,-0.01,0.11,0.07,-0.03,0.03
2015-10-24,4.8,0.0,1.38,0.03,-0.08,-1.33,2.97,-0.01,0.0,0.4,-0.41,0.0,0.0,-0.01,0.0,1.14,-0.09,-0.02,0.0,-0.38,0.38,-0.7,0.0,0.0,0.06
2015-10-25,4.38,0.0,0.0,-0.02,1.55,-0.16,-0.65,0.0,0.0,0.0,0.0,0.0,0.41,0.04,0.0,0.0,2.0,0.0,-2.12,0.0,0.0,-0.16,1.5,0.4,1.96
2015-10-26,-0.84,2.0,-0.08,0.09,2.99,-0.6,5.06,-0.36,0.0,0.0,0.0,0.0,0.0,0.0,-0.23,1.13,1.0,0.22,0.0,-1.63,0.0,-0.59,-6.61,3.61,-5.99
2015-10-27,9.66,0.0,2.58,-2.61,0.02,-1.01,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,-1.64,0.0,4.34,1.11,-1.11,0.0,-2.89,2.91,-0.37,0.0,0.0
2015-10-28,8.85,0.46,2.25,-1.25,1.69,-0.91,-0.12,-0.33,0.0,0.0,0.0,0.66,0.71,0.8,2.48,0.01,-0.99,0.69,0.01,0.12,0.18,0.0,3.38,-0.16,0.0
2015-10-29,7.84,-0.02,0.18,0.0,0.0,2.92,0.0,-0.01,0.0,0.0,2.56,-2.56,2.46,1.84,0.91,1.3,0.7,-0.7,-8.6,0.0,0.0,4.53,-0.28,3.6,0.05
2015-10-30,15.47,-0.1,-1.86,0.39,1.46,0.01,0.14,0.0,0.21,1.39,3.26,0.07,0.0,-4.28,7.21,0.0,5.01,-0.01,-5.25,0.14,-0.83,0.0,0.83,0.0,0.0
2015-10-31,-15.36,2.68,11.23,1.12,0.01,3.07,-3.0,3.0,10.0,0.0,-10.1,0.28,-0.28,-15.04,9.14,3.0,-4.72,0.51,4.19,4.19,-3.82,-8.55,1.2,0.0,7.36
2015-11-01,15.0,6.33,-3.19,-0.49,1.88,-7.89,-1.11,6.84,0.0,0.0,0.0,-5.09,0.0,0.0,0.0,0.0,-10.12,5.34,-6.92,-0.94,-1.0,-4.0,6.11,-1.11,0.0
2015-11-02,37.85,4.79,0.0,-0.79,-3.86,4.66,2.87,0.0,0.0,0.0,-3.12,1.45,0.0,0.0,0.0,0.0,-1.0,-3.65,-1.48,0.0,4.4,2.33,6.06,2.33,0.01
2015-11-03,32.15,-0.01,-3.89,0.0,1.9,2.0,2.96,0.0,0.0,0.03,0.0,2.43,2.58,2.0,1.0,-4.83,0.41,0.07,-0.04,6.13,7.26,5.0,7.0,1.96,-0.96
2015-11-04,10.0,0.9,1.7,4.29,5.11,2.02,2.99,-9.78,0.44,3.98,0.0,-0.19,1.49,15.0,4.02,-2.97,2.96,4.15,16.88,4.99,-22.13,0.15,-2.0,5.5,1.59
2015-11-05,-30.58,4.09,12.82,3.66,14.34,10.08,-6.09,-9.5,10.45,-2.36,1.94,16.4,17.83,15.25,3.77,-4.32,-8.92,-8.28,-3.25,-10.37,3.45,3.7,-48.78,-25.21,20.21
2015-11-06,-3.42,-4.0,18.25,0.26,12.44,-27.22,-20.14,-4.58,-1.82,-13.19,-0.6,17.61,12.99,-3.2,-1.8,-4.93,-5.85,10.03,-0.45,6.44,8.36,-8.93,7.32,-16.99,-7.0
2015-11-07,12.13,-11.37,8.36,-21.71,4.21,-12.49,5.0,0.0,28.0,-15.68,-0.05,-1.8,1.86,7.67,-4.28,-1.94,13.4,9.83,-2.01,0.99,-29.26,10.26,-1.99,4.98,-3.98
2015-11-08,-11.13,5.0,-4.25,2.89,-4.67,7.03,0.0,3.12,-3.22,3.29,-0.91,5.72,-4.1,0.0,5.93,-3.83,-4.5,-0.5,-0.02,6.22,-4.1,-0.1,0.0,3.13,-1.13
2015-11-09,4.46,-3.33,0.0,5.94,0.0,-2.36,0.0,0.0,-9.48,0.0,8.67,0.0,0.0,0.45,0.0,0.0,-0.31,0.0,-2.58,-2.49,0.0,2.35,-13.86,7.0,-7.76
2015-11-10,-45.28,0.26,-4.5,3.81,0.26,-1.07,0.0,-0.37,0.0,2.37,1.0,0.0,15.79,-1.79,-5.26,3.63,0.63,-7.0,-4.08,4.99,4.96,-2.87,-0.06,3.06,-5.9
2015-11-11,-30.18,-7.1,0.0,6.99,0.01,0.0,2.93,-1.93,1.66,-1.21,-0.73,-0.12,-3.48,0.26,2.08,-21.45,-3.58,6.75,-5.82,1.14,0.5,-7.07,-15.93,13.8,-8.34
2015-11-12,29.5,-0.57,-8.03,-16.86,0.0,3.08,-5.07,5.19,-3.0,10.8,1.48,3.13,0.0,0.0,-2.71,-9.9,-6.41,0.4,0.93,0.08,0.0,3.99,-2.99,-4.0,4.0
2015-11-13,2.95,4.5,3.23,0.23,2.04,0.71,4.24,5.25,1.8,1.37,11.43,-1.49,-13.86,4.55,-9.0,1.0,0.0,5.0,0.0,-2.71,-0.25,0.08,1.57,6.21,4.1
2015-11-14,11.54,0.0,0.0,0.0,-2.13,0.04,2.09,-1.96,-3.07,-5.97,2.04,-1.92,-1.98,20.86,-17.86,0.0,0.86,-0.95,0.95,2.0,0.0,0.0,1.0,5.65,-2.57
2015-11-15,-31.33,-0.58,-3.58,4.68,2.4,0.0,0.0,0.0,0.0,0.0,0.0,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,-4.02,4.42,-2.85,5.85,2.51,0.0,6.48
2015-11-16,18.33,1.16,0.01,-13.47,0.0,-4.11,0.0,0.64,0.0,1.78,0.0,0.0,-1.97,1.97,-5.0,23.99,-9.35,-2.66,-19.57,-1.21,-0.2,10.0,-11.04,4.0,-4.14
2015-11-17,-2.48,4.17,-6.47,-2.52,8.06,0.0,0.0,0.0,-1.53,-2.25,0.0,0.0,0.0,0.0,4.72,-3.03,-0.43,-0.53,10.76,1.06,2.34,-5.17,6.99,0.0,-2.0
2015-11-18,1.48,-0.38,4.38,0.01,-1.63,-1.86,-3.51,1.01,0.0,0.0,0.08,0.0,-0.08,6.55,0.14,-6.7,3.0,-1.49,0.09,1.1,2.3,-2.51,-0.99,1.5,-0.5
2015-11-19,-10.98,-0.09,0.49,-1.54,1.0,0.0,-5.35,1.89,-1.75,0.0,0.0,0.0,0.0,3.85,1.37,-1.13,-1.34,0.0,0.1,-0.1,0.1,1.25,2.35,-1.7,-2.0
2015-11-20,-4.5,0.6,2.25,-2.95,0.0,1.3,-1.87,-0.23,0.6,0.0,0.0,0.0,0.87,-5.97,-0.3,0.8,-1.76,-0.34,2.09,-1.83,1.84,0.0,0.0,-0.87,-2.12
2015-11-21,4.71,-6.13,-2.85,-5.02,6.99,1.04,-1.06,0.0,-0.89,2.3,0.61,3.6,-0.23,1.63,-1.4,-2.74,4.13,-1.07,-0.33,-3.59,0.0,1.0,0.48,-0.97,0.49
2015-11-22,-0.85,-0.5,0.49,0.01,0.0,2.88,1.43,1.68,0.34,-0.52,0.78,-1.3,0.44,0.5,-0.34,-2.25,0.61,0.68,0.62,-0.71,-1.11,0.61,0.64,-0.76,2.37
2015-11-23,-1.62,-1.59,0.39,-0.25,0.08,2.53,0.0,-3.27,2.03,-1.08,0.0,0.0,-1.51,-0.7,-3.23,2.47,0.73,0.0,0.0,-1.12,-0.6,0.6,1.42,-0.11,-0.01
2015-11-24,-5.23,-0.37,0.0,0.17,0.0,0.0,-2.26,0.0,1.68,0.17,0.0,0.0,0.0,0.0,0.0,2.24,-0.03,-0.97,0.5,0.01,0.29,-1.82,0.99,-2.1,0.22
2015-11-25,9.98,-1.57,0.35,-2.28,0.52,-0.5,0.0,0.0,0.33,0.8,-0.44,0.0,0.6,0.0,-0.16,0.26,0.12,0.87,0.2,-0.18,-1.02,-1.31,1.32,-1.39,-2.09
